 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,170.202,22.481,0,0.086,1.651,3.286,7.156,16.648,882.37
2,1,1,169.726,22.459,0,0.086,1.745,3.642,8.29,20.08,713.832
3,1,2,169.192,22.727,0,0.086,1.655,3.323,7.32,17.257,896.799
4,1,3,165.64,22.686,0,0.091,1.803,3.86,8.978,22.135,455.669
5,2,0,68.827,47.304,0,0.067,1.674,3.4,7.572,18.032,917.438
6,2,1,69.447,46.424,0,0.08,1.716,3.525,7.902,18.854,813.308
7,3,0,226.539,53.391,0,0.071,1.595,3.11,6.666,15.314,703.469
8,3,1,227.108,52.593,0,0.078,1.594,3.093,6.58,14.987,605.057
9,3,2,226.379,51.957,0,0.069,1.686,3.434,7.66,18.258,911.819
10,3,3,225.436,53.344,0,0.077,1.746,3.645,8.3,20.108,753.827
11,3,4,226.084,52.76,0,0.103,1.717,3.554,8.044,19.404,773.098
12,3,5,226.389,52.491,0,0.117,1.664,3.34,7.33,17.158,869.414
13,4,0,90.266,54.6,0,0.131,1.739,3.61,8.162,19.626,770.54
14,4,1,90.215,54.35,0,0.091,1.713,3.555,8.083,19.615,794.204
15,4,2,88.524,52.821,0,0.109,1.762,3.705,8.482,20.621,669.035
16,4,3,88.262,52.269,0,0.107,1.68,3.406,7.559,17.921,877.594
17,4,4,87.367,53.568,0,0.122,1.604,3.13,6.692,15.307,580.215
18,4,5,87.621,54.568,0,0.094,1.83,3.934,9.156,22.534,302.647
19,4,6,89.374,53.823,0,0.092,1.701,3.49,7.83,18.726,789.991
20,4,7,89.361,52.675,0,0.097,1.749,3.64,8.247,19.866,733.289
21,4,8,89.459,54.477,0,0.099,1.718,3.543,7.967,19.055,824.601
22,4,9,92.081,53.841,0,0.067,1.666,3.381,7.531,17.936,894.651
23,4,10,91.03,53.435,0,0.089,1.723,3.56,8.028,19.279,861.309
24,4,11,91.159,54.212,0,0.078,1.764,3.696,8.425,20.388,663.105
25,4,12,89.586,53.35,0,0.076,1.745,3.634,8.244,19.869,627.065
26,4,13,90.344,54.59,0,0.096,1.724,3.564,8.046,19.367,769.421
27,4,14,88.663,54.22,0,0.096,1.63,3.23,7.022,16.335,781.567
28,4,15,88.68,54.676,0,0.119,1.734,3.591,8.106,19.462,761.612
29,4,16,87.625,54.275,0,0.103,1.778,3.753,8.61,20.951,645.988
30,4,17,87.635,53.456,0,0.117,1.788,3.776,8.654,21.023,499.489
31,4,18,87.548,53.596,0,0.126,1.871,4.097,9.686,24.171,162.256
32,4,19,87.507,52.804,0,0.091,1.735,3.61,8.201,19.835,724.464
33,4,20,87.487,53.748,0,0.104,1.709,3.504,7.842,18.687,1004.251
34,4,21,86.809,56.48,0,0.087,1.795,3.835,8.897,21.875,400.624
35,4,22,86.159,55.537,0,0.094,1.734,3.607,8.187,19.775,655.368
36,4,23,85.485,54.444,0,0.107,1.73,3.563,7.987,19.021,678.737
37,4,24,85.515,53.471,0,0.118,1.661,3.331,7.314,17.161,921.571
38,4,25,84.801,53.402,0,0.104,1.726,3.571,8.06,19.354,788.652
39,4,26,84.206,54.509,0,0.105,1.685,3.43,7.645,18.189,908.243
40,4,27,83.887,54.297,0,0.121,1.729,3.6,8.201,19.913,785.591
41,4,28,83.708,53.769,0,0.125,1.712,3.518,7.884,18.81,809.31
42,4,29,84.688,52.868,0,0.085,1.674,3.379,7.46,17.566,847.646
43,4,30,85.224,52.771,0,0.092,1.775,3.746,8.599,20.947,505.398
44,4,31,83.541,52.92,0,0.074,1.659,3.343,7.392,17.49,1000.287
45,4,32,84.273,55.096,0,0.051,1.64,3.265,7.14,16.742,963.406
